,,,,,
date,matt_steps,aiden_steps,weekday,temp,precip
2016-06-29,3975,,3,19.1,0
2016-06-30,2777,,4,17.8,0
2016-07-01,7454,,5,16.8,4.7
2016-07-02,1650,,6,19.1,0
2016-07-03,6950,,0,21.9,18.1
2016-07-04,1477,,1,17.2,1
2016-07-05,4268,,2,16.7,0.3
2016-07-06,6528,,3,16.6,5.4
2016-07-07,3040,,4,,
2016-07-08,4854,,5,17.4,0
2016-07-09,3503,,6,22,0
2016-07-10,4565,,0,18.3,0
2016-07-11,8447,,1,18,5.1
2016-07-12,3713,,2,15.1,20.9
2016-07-13,6612,,3,17.5,0
2016-07-14,8312,,4,15.8,0
2016-07-15,9581,,5,16,0
2016-07-16,3638,,6,17.7,0
2016-07-17,12322,,0,17.1,0
2016-07-18,11285,,1,19.5,0
2016-07-19,14254,,2,24.6,2.9
2016-07-20,13395,,3,20.6,0
2016-07-21,20611,,4,19.8,0
2016-07-22,9567,,5,19.2,0
2016-07-23,5702,,6,18.1,15.3
2016-07-24,6787,,0,18.7,0
2016-07-25,1040,,1,20.3,0
2016-07-26,10477,,2,18,0
2016-07-27,6963,,3,18.5,0
2016-07-28,2005,,4,18.3,0
2016-07-29,3843,,5,18.6,0
2016-07-30,13243,,6,20.2,0.4
2016-07-31,7077,,0,20.7,0.2
2016-08-01,4605,,1,17.1,0
2016-08-02,4208,,2,19.3,0
2016-08-03,4754,,3,20.3,9.4
2016-08-04,5257,,4,18.5,4.4
2016-08-05,3180,,5,17.3,0
2016-08-06,2958,,6,19.1,0
2016-08-07,6750,,0,21.9,0
2016-08-08,1595,,1,20.4,27.8
2016-08-09,10172,,2,18.8,0
2016-08-10,3754,,3,15.6,10.2
2016-08-11,2228,,4,16.2,0
2016-08-12,4576,,5,17.6,1.9
2016-08-13,3608,,6,17.1,0
2016-08-14,4297,,0,18.8,0
2016-08-15,6203,,1,18.7,0
2016-08-16,2177,,2,19.5,0
2016-08-17,6186,,3,19.4,0.9
2016-08-18,1475,,4,,
2016-08-19,16041,,5,12.8,0.5
2016-08-20,13880,,6,14.4,0
2016-08-21,5954,,0,20.6,0
2016-08-22,5069,,1,20.4,0
2016-08-23,8814,,2,15.5,0.7
2016-08-24,2718,,3,11.1,2.5
2016-08-25,1529,,4,13.8,0
2016-08-26,6792,,5,14,0
2016-08-27,3250,,6,15.5,0
2016-08-28,5550,,0,15.9,0
2016-08-29,2241,,1,11.9,0
2016-08-30,1097,,2,19.4,0
2016-08-31,4309,,3,20.4,0
2016-09-01,5926,,4,24.8,0
2016-09-02,10823,,5,24.8,0
2016-09-03,3452,,6,16,0.3
2016-09-04,3573,,0,10,0
2016-09-05,3026,,1,8.8,8
2016-09-06,11113,,2,10.3,0.2
2016-09-07,9391,,3,11.9,14.5
2016-09-08,13637,,4,12.6,1.7
2016-09-09,12335,,5,11.8,0.3
2016-09-10,3271,,6,12.6,0
2016-09-11,6018,,0,9.6,0
2016-09-12,13633,,1,3.8,0.3
2016-09-13,12339,,2,8.4,0
2016-09-14,16341,,3,10.7,0
2016-09-15,11662,,4,13.3,0
2016-09-16,26167,,5,11.7,0.7
2016-09-17,12432,,6,17.2,0.2
2016-09-18,15948,,0,14.6,0
2016-09-19,9250,,1,12.4,0
2016-09-20,6549,,2,9.5,0.7
2016-09-21,7046,,3,,
2016-09-22,9109,,4,10.6,0
2016-09-23,11814,,5,9.9,18.2
2016-09-24,4487,,6,10.9,8.9
2016-09-25,5922,,0,8.9,0
2016-09-26,7246,,1,8.6,0
2016-09-27,8821,,2,14.9,0
2016-09-28,11961,,3,13.6,0
2016-09-29,6904,,4,18.4,0
2016-09-30,11746,,5,15.9,0
2016-10-01,4120,,6,15.6,0
2016-10-02,5571,,0,13.8,0
2016-10-03,8176,,1,8.9,10.5
2016-10-04,9546,,2,5.1,11
2016-10-05,7903,,3,0.8,12.3
2016-10-06,2640,,4,-0.6,1.2
2016-10-07,6632,,5,0.4,0.2
2016-10-08,4609,,6,1.2,0
2016-10-09,8894,,0,8.8,1.1
2016-10-10,2203,,1,0.4,2.7
2016-10-11,8076,,2,-0.4,0.9
2016-10-12,11600,,3,-0.1,0
2016-10-13,2329,,4,-0.7,0
2016-10-14,12008,,5,8.4,0
2016-10-15,3560,,6,5.7,0
2016-10-16,5794,,0,5.8,2.5
2016-10-17,13331,,1,3.7,0
2016-10-18,12614,,2,1.5,0
2016-10-19,10338,,3,2.4,0
2016-10-20,4330,,4,3.6,0
2016-10-21,15543,,5,5.4,1.7
2016-10-22,18198,,6,0.4,18.5
2016-10-23,5687,,0,2.1,0.2
2016-10-24,10524,,1,6.2,0
2016-10-25,11921,,2,6.6,0.3
2016-10-26,10776,,3,5,0.2
2016-10-27,16435,,4,5.8,0
2016-10-28,11440,,5,5.7,1.2
2016-10-29,4485,,6,3.7,0
2016-10-30,3920,,0,5.3,0
2016-10-31,12960,,1,2.3,0
2016-11-01,11789,,2,6.8,0
2016-11-02,10922,,3,5.3,0
2016-11-03,9141,,4,7,0
2016-11-04,13968,,5,9.2,0
2016-11-05,6682,,6,9.3,0
2016-11-06,3569,,0,8,0
2016-11-07,12077,,1,5.7,0
2016-11-08,12263,,2,6.8,0
2016-11-09,7831,,3,10.7,0
2016-11-10,9141,,4,3.7,0
2016-11-11,14652,,5,5,0
2016-11-12,9835,,6,7.7,0
2016-11-13,14489,,0,6,0
2016-11-14,6745,,1,7.5,0
2016-11-15,10606,,2,2.8,0
2016-11-16,9471,,3,-1.4,4.5
2016-11-17,9101,,4,-5.1,0
2016-11-18,7190,,5,-6.9,0.2
2016-11-19,6410,,6,-7,0
2016-11-20,6260,,0,-0.3,0
2016-11-21,11062,,1,-0.7,0
2016-11-22,9846,,2,-2.8,0
2016-11-23,9398,,3,-2.1,0
2016-11-24,8399,,4,-1.2,0.2
2016-11-25,12850,,5,-1.1,0
2016-11-26,11190,,6,-1.7,0
2016-11-27,16574,,0,1.1,0
2016-11-28,16442,,1,-2.3,0.5
2016-11-29,9080,,2,-3.5,1.1
2016-11-30,8528,,3,-4,0.2
2016-12-01,10308,,4,-2.5,0
2016-12-02,8363,,5,-3.5,0
2016-12-03,15197,,6,-3.4,0.4
2016-12-04,4058,,0,-7.6,0
2016-12-05,8030,,1,-9.7,0.2
2016-12-06,9003,,2,-15,0
2016-12-07,6727,,3,-17,0.2
2016-12-08,17932,,4,-21.8,0
2016-12-09,7244,,5,-24.7,0.2
2016-12-10,3842,191,6,-24.4,0
2016-12-11,9072,12580,0,-18.4,0
2016-12-12,9420,3149,1,-19.8,0
2016-12-13,8654,5487,2,-17.2,0
2016-12-14,4356,1537,3,-21.8,0.2
2016-12-15,7985,11678,4,-21.6,0
2016-12-16,8667,3165,5,-25.9,0
2016-12-17,4563,15265,6,-27.8,0
2016-12-18,4899,11997,0,-17,0
2016-12-19,7814,12193,1,-3.2,0
2016-12-20,5419,12014,2,-4.1,0.2
2016-12-21,7612,3093,3,-7.4,0.2
2016-12-22,2699,6653,4,-3.9,0
2016-12-23,8266,4681,5,-8.4,0
2016-12-24,4464,4395,6,-14.3,0.4
2016-12-25,4375,3321,0,-15.2,1.8
2016-12-26,1387,2053,1,-15.7,0.2
2016-12-27,716,2778,2,-10.9,0
2016-12-28,1478,1471,3,-5.7,0
2016-12-29,3523,1430,4,-8.4,0
2016-12-30,3312,2731,5,-10.8,1.2
2016-12-31,4405,16884,6,-10.8,0.5
2017-01-01,2724,1548,0,-20.1,0
2017-01-02,6093,699,1,-20.4,0.2
2017-01-03,2870,1110,2,-25.3,0
2017-01-04,1283,776,3,-21.8,0.2
2017-01-05,7514,5907,4,-21,0.2
2017-01-06,7466,4980,5,-22.4,0
2017-01-07,3648,10332,6,-25.2,0
2017-01-08,4187,13726,0,-21.4,0.2
2017-01-09,6173,5016,1,-20,1.5
2017-01-10,7119,3942,2,-23.5,0.2
2017-01-11,4790,4905,3,-22.3,0
2017-01-12,8321,4561,4,-23.4,0
2017-01-13,8331,3202,5,-20.9,0
2017-01-14,6112,15073,6,-16.4,0
2017-01-15,4155,12572,0,-11.3,0
2017-01-16,5728,3954,1,-8.8,0
2017-01-17,7388,4668,2,-2.2,0
2017-01-18,8742,4422,3,0.8,0
2017-01-19,11816,3638,4,-1.1,0
2017-01-20,12457,2871,5,-4.6,0
2017-01-21,6378,1404,6,-5.1,0
2017-01-22,8873,11362,0,-4.3,0
2017-01-23,2305,4105,1,-7.9,0
2017-01-24,6067,4364,2,-9.9,0
2017-01-25,2973,6394,3,-13.1,0.2
2017-01-26,6063,6198,4,-10.9,0
2017-01-27,9097,3959,5,-4.3,0
2017-01-28,6050,14314,6,-1.3,0
2017-01-29,4032,12954,0,0.7,0
2017-01-30,8595,4159,1,-0.1,0.7
2017-01-31,8470,532,2,-11.8,0.4
2017-02-01,10831,4574,3,-17.4,0
2017-02-02,9468,2886,4,-16.1,0
2017-02-03,11558,2930,5,-15.7,0
2017-02-04,3941,16157,6,-14.4,0.2
2017-02-05,5276,233,0,-16.8,4.2
2017-02-06,8993,4287,1,-17.2,1.9
2017-02-07,7863,2910,2,-26.5,0.4
2017-02-08,5732,13162,3,-26.9,0
2017-02-09,5762,1212,4,-18.3,1.3
2017-02-10,7437,2444,5,-8.1,0.2
2017-02-11,2649,14592,6,-7.6,0
2017-02-12,4794,714,0,-6.8,0
2017-02-13,11660,12908,1,-3.5,0
2017-02-14,12182,2817,2,-3.8,0
2017-02-15,9094,13674,3,-0.7,0
2017-02-16,15534,4084,4,3.9,0
2017-02-17,11837,4769,5,3.6,0
2017-02-18,17781,15500,6,0.1,0
2017-02-19,6305,882,0,0.8,0
2017-02-20,6638,8144,1,1.9,0
2017-02-21,3295,4401,2,0.6,0
2017-02-22,1854,9315,3,-0.3,0
2017-02-23,5349,4563,4,-4.4,0
2017-02-24,3850,1665,5,-6.2,0
2017-02-25,8216,13162,6,-11.6,0
2017-02-26,5401,1302,0,-9.9,0.2
2017-02-27,7415,4126,1,-14.9,0
2017-02-28,9912,5072,2,-12.3,0
2017-03-01,7699,10733,3,-13.4,0.2
2017-03-02,12884,1367,4,-10.6,0
2017-03-03,7997,3201,5,-5.8,0.4
2017-03-04,4411,14587,6,2.2,0
2017-03-05,4021,522,0,-0.8,0.6
2017-03-06,12226,13344,1,-9.8,0.9
2017-03-07,11423,837,2,-12.5,0
2017-03-08,13312,16087,3,-14.7,0
2017-03-09,9359,994,4,-18.7,0
2017-03-10,7786,2524,5,-19.6,0.8
2017-03-11,2378,12159,6,-17.3,0.4
2017-03-12,3614,8779,0,-16.7,1.1
2017-03-13,8298,16718,1,-16.1,0
2017-03-14,15789,2266,2,-8,0
2017-03-15,7966,16551,3,-2.2,0
2017-03-16,7113,3941,4,3.1,0
2017-03-17,3601,2232,5,-0.2,0
2017-03-18,3312,14590,6,0.9,0
2017-03-19,7269,1662,0,1.9,0
2017-03-20,11623,12355,1,-3.4,0
2017-03-21,9740,586,2,-7,0
2017-03-22,8601,10835,3,-1.9,0
2017-03-23,4700,530,4,3.2,0
2017-03-24,9731,2455,5,0.5,0
2017-03-25,3255,3728,6,7.5,0
2017-03-26,4075,5166,0,6,0
2017-03-27,8433,10226,1,2.5,0
2017-03-28,11320,1115,2,2,0
2017-03-29,12980,1223,3,8.6,0
2017-03-30,9636,276,4,9.8,0
2017-03-31,9073,663,5,3.9,0
2017-04-01,1546,5790,6,6.6,0
2017-04-02,5497,3763,0,6.7,0
2017-04-03,11579,6359,1,4.8,0
2017-04-04,9426,1022,2,3.8,0
2017-04-05,8635,1320,3,4.6,0
2017-04-06,8868,3849,4,8.5,0
2017-04-07,14688,1237,5,15.5,0
2017-04-08,5881,4507,6,10.1,0
2017-04-09,7854,2334,0,-2.4,0
2017-04-10,10573,1859,1,0.4,0
2017-04-11,9225,2163,2,5.3,0.2
2017-04-12,10331,5109,3,5.8,0
2017-04-13,10194,7021,4,10.5,0
2017-04-14,4626,2727,5,5.8,3.5
2017-04-15,3415,5179,6,5.2,0
2017-04-16,10634,4462,0,-4.6,0.2
2017-04-17,7689,12174,1,-2.1,0.4
2017-04-18,5450,6169,2,5.4,0.2
2017-04-19,5785,897,3,7,4.5
2017-04-20,3464,508,4,7.8,0
2017-04-21,5198,4586,5,9,0
2017-04-22,4561,2028,6,5.8,0.2
2017-04-23,4979,1762,0,1.6,1.3
2017-04-24,8283,2809,1,-1.8,6.2
2017-04-25,9209,1137,2,0.1,0
2017-04-26,5549,1505,3,2.4,0
2017-04-27,7642,1158,4,3.9,0
2017-04-28,10802,3345,5,6.9,2.5
2017-04-29,6692,2883,6,7.2,0.5
2017-04-30,4136,2153,0,9.7,0.5
2017-05-01,7552,926,1,5.5,0
2017-05-02,7650,1121,2,8.8,0
2017-05-03,7659,864,3,7.2,0
2017-05-04,9620,9223,4,11.9,0
2017-05-05,12789,6253,5,17.9,0
2017-05-06,18289,3713,6,21,0
2017-05-07,4194,2108,0,18.8,0
2017-05-08,6128,4352,1,7.3,0.5
2017-05-09,9374,1045,2,8.8,0
2017-05-10,8695,3405,3,10.2,0
2017-05-11,7799,3552,4,14.8,0
2017-05-12,9152,8946,5,15.1,0
2017-05-13,4895,3700,6,16.1,0
2017-05-14,3704,2147,0,10.9,2.5
2017-05-15,6465,5705,1,10.2,1.4
2017-05-16,9247,4584,2,9.2,0
2017-05-17,7237,6544,3,7.8,0
2017-05-18,9448,2721,4,6.6,0
2017-05-19,3704,3981,5,9.2,0
2017-05-20,5858,4505,6,13,0
2017-05-21,4941,2508,0,12.4,0.9
2017-05-22,12216,3157,1,13.4,0
2017-05-23,8984,2424,2,13.7,0
2017-05-24,10166,2714,3,17.6,0
2017-05-25,17878,3728,4,8.4,0.9
2017-05-26,7184,3545,5,14,0.7
2017-05-27,3632,4845,6,13,0
2017-05-28,8261,2228,0,12.5,0
2017-05-29,9385,20504,1,12.3,0
2017-05-30,11430,4296,2,9.9,0
2017-05-31,7579,3093,3,15.2,0
2017-06-01,10503,1496,4,22.4,2
2017-06-02,11610,12536,5,20.3,2.8
2017-06-03,4888,4269,6,17.8,0
2017-06-04,4703,3603,0,19.4,0
2017-06-05,9758,3981,1,23.2,0
2017-06-06,8472,2056,2,,
2017-06-07,9130,1823,3,15.5,0
2017-06-08,19681,1505,4,19.1,0
2017-06-09,10687,2646,5,19.3,9.8
2017-06-10,7907,2634,6,16.1,0
2017-06-11,8042,1915,0,13.4,0
2017-06-12,12035,1017,1,16.8,0
2017-06-13,6250,3622,2,18.1,0
2017-06-14,7510,2977,3,12.7,16.9
2017-06-15,11156,3186,4,15.2,0
2017-06-16,8677,4395,5,,
2017-06-17,2349,5114,6,14.9,9
2017-06-18,3851,3376,0,13.9,2.2
2017-06-19,9102,3947,1,13.8,0
2017-06-20,5823,4809,2,14.9,0
2017-06-21,2437,2792,3,15,0
2017-06-22,2957,3702,4,12.6,1.3
2017-06-23,48,4147,5,11.1,0
2017-06-24,3251,5375,6,10.3,0
2017-06-25,6407,6066,0,13.6,0
2017-06-26,3471,744,1,15.5,0
2017-06-27,3300,3954,2,20.4,1
2017-06-28,16357,3660,3,13.4,0
2017-06-29,11621,5716,4,13.8,0
2017-06-30,3005,5745,5,13.5,1
2017-07-01,4806,4784,6,17.5,0
2017-07-02,4658,1523,0,18.6,0
2017-07-03,4637,1904,1,23.5,0
